Area,State,Year,Category,Hectares
Peninsular Malaysia,W.P. Kuala Lumpur,2008,Forested,3678
Peninsular Malaysia,W.P. Kuala Lumpur,2008,Non-Forested,34653
Peninsular Malaysia,W.P. Kuala Lumpur,2009,Forested,3698
Peninsular Malaysia,W.P. Kuala Lumpur,2009,Non-Forested,34633
Peninsular Malaysia,W.P. Kuala Lumpur,2010,Forested,1767
Peninsular Malaysia,W.P. Kuala Lumpur,2010,Non-Forested,27433
Peninsular Malaysia,W.P. Kuala Lumpur,2011,Forested,1767
Peninsular Malaysia,W.P. Kuala Lumpur,2011,Non-Forested,27433
Peninsular Malaysia,W.P. Kuala Lumpur,2012,Forested,2049
Peninsular Malaysia,W.P. Kuala Lumpur,2012,Non-Forested,27151
Peninsular Malaysia,W.P. Kuala Lumpur,2013,Forested,2049
Peninsular Malaysia,W.P. Kuala Lumpur,2013,Non-Forested,27151
Peninsular Malaysia,W.P. Kuala Lumpur,2014,Forested,2049
Peninsular Malaysia,W.P. Kuala Lumpur,2014,Non-Forested,27106
Peninsular Malaysia,W.P. Kuala Lumpur,2015,Forested,2049
Peninsular Malaysia,W.P. Kuala Lumpur,2015,Non-Forested,27151
Peninsular Malaysia,W.P. Kuala Lumpur,2016,Forested,2049
Peninsular Malaysia,W.P. Kuala Lumpur,2016,Non-Forested,27151
Peninsular Malaysia,W.P. Kuala Lumpur,2017,Forested,2049
Peninsular Malaysia,W.P. Kuala Lumpur,2017,Non-Forested,27121
